ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1000,黎,hide,hide,hide,hide,「你知道你的房间里有一大罐维生素片吗？」,病房,日常（侦探）,false,,
1001,零,hide,hide, zero_suprise,hide,「啊？维生素片？」,病房,日常（侦探）,,,
1002,,hide,hide,zero_suprise,hide,少女的神情充满了疑惑。,病房,日常（侦探）,,,
1003,零,hide,hide,zero_suprise,hide,「原来我曾经还吃这种东西吗？」,病房,日常（侦探）,,,
1004,黎,hide,hide,zero_suprise,hide,「不，既然出现在你家里了，就说明应该是吃过的吧……」,病房,日常（侦探）,,,
1005,黎,hide,hide,zero_suprise,hide,「你现在吃的药物里，有长得跟这个很像的吗？」,病房,日常（侦探）,,,
1006,,hide,hide, zero_default,hide,我把化验单的结果拍在零的面前，问道。,病房,日常（侦探）,,,
1007,零,hide,hide, zero_default,hide,「这种药是？我这段时间吃的药太多，而且都是护士给我配好的，所以我不太清楚是什么，但好像确实有个和这个很像的……」,病房,日常（侦探）,,,
1008,黎,hide,hide,zero_default,hide,「好，那就说得通了——」,病房,日常（侦探）,,,
1009,,hide,hide,hide,hide,我一直觉得这个故事碎片很奇怪，几个疑点似乎怎么想都无法得到妥善解答。,病房,日常（侦探）,,,
1010,,hide,hide,hide,hide,首先，碧说过大概率只有零和空知道的、关于空妹妹的事情。,病房,日常（侦探）,,,
1011,,hide,hide,hide,hide,其次，零主观上和空第一次见面，但零感觉空似乎早就认识她。,病房,日常（侦探）,,,
1012,,hide,hide,hide,hide,再者，关于空的下落，我也很好奇——明明一个大活人消失，为什么会没有家属报案呢？,病房,日常（侦探）,,,
1013,,hide,hide,hide,hide,如果这是个推理小说，那么在小说末尾，侦探会给出一个惊天大反转——,病房,日常（侦探）,,,
1014,,hide,hide,hide,hide,在给读者以惊讶的同时，又能直接解答故事的诸多疑问。,病房,日常（侦探）,,,
1015,,hide,hide,hide,hide,但可惜现实并不是推理小说，也不会那样有逻辑。,病房,日常（侦探）,,,
1016,,hide,hide,hide,hide,我接受了这么多委托，从来没有一个委托像这样特别，这样没有逻辑。,病房,日常（侦探）,,,
1017,,hide,hide,hide,hide,我根本从故事逻辑上拼不出来这些碎片，感觉怎么拼都有矛盾——,病房,日常（侦探）,,,
