ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1000,黎,hide,hide,zero-default,hide,「医生最近有让你吃什么药吗？」,天空,日常（侦探）,False,,
1001,零,hide,hide,zero-default,hide,「什么？药物？当然是一直在吃……」,天空,,,,
1002,黎,hide,hide,zero-default,hide,「那有这种药吗？」,天空,,,,
1003,,hide,hide,zero-default,hide,我把化验单的结果拍在零的面前，轻声问道。,天空,,,,
1004,黎,hide,hide,zero-default,hide,「医生应该还在让你吃这种药吧——你知道它是干什么的吗？」,天空,,,,
1005,零,hide,hide,zero-default,hide,「这种药是？我这段时间吃的药太多，而且都是护士给我配好的，所以我不太清楚……」,天空,,,,
1006,黎,hide,hide,zero-default,hide,「那罐药的化验结果出来了。这是一种给精神病人用的药。虽然没什么很明显的副作用，但是如果过量食用就可能会丧失记忆——就跟你现在的情况一样…………」,天空,,,,
1007,,hide,hide,zero-default,hide,少女零一直在服用精神类药物。,天空,,,,
1008,,hide,hide,zero-default,hide,虽然不是什么大毛病，只要长期按时服药就能解决——,天空,,,,
1009,,hide,hide,zero-default,hide,但少女零有时候会为了压抑住症状，不受控制般地同时服用大量药物。,天空,,,,
1010,,hide,hide,zero-default,hide,理论上如果患者遇到这种情况，医生是得介入的，只是——,天空,,,,
1011,,hide,hide,hide,hide,（碧的房间）,碧的房间,,,,
1012,黎,hide,hide,aoi-panic,hide,「所以，作为半个监护人，你非但没有带她去看医生，还不断放任这种情况发生——我说得对吗，碧。」,碧的房间,,,,
1013,碧,hide,hide,aoi-panic,hide,「咕——」,碧的房间,,,,
1014,,hide,hide,aoi-panic,hide,在药物检测出结果后，我直接找到了碧。,碧的房间,,,,
1015,,hide,hide,aoi-panic,hide,碧显然对我的身份，以及我进了零房间这件事相当惊讶。,碧的房间,,,,
1016,,hide,hide,aoi-panic,hide,对于我发现的事实，她自然是不承认的。,碧的房间,,,,
1017,,hide,hide,aoi-panic,hide,我只得介绍了自己的能力。,碧的房间,,,,
1018,黎,hide,hide,aoi-panic,hide,「我读取到了她有一次过度服药，你却半放任这种事情发生的记忆——」,碧的房间,,,,
1019,黎,hide,hide,aoi-panic,hide,「这我可无法视而不见，碧。你有这么干过吧。」,碧的房间,,,,
1020,碧,hide,hide,aoi-sad,hide,「…………」,碧的房间,,,,
1021,黎,hide,hide,aoi-sad,hide,「你可以跟我聊聊的，碧。毕竟现在，让零恢复过来才是最主要的。」,碧的房间,,,,
