ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1000,？？？,hide,hide,hide,hide,「啊对的，就是上次你去过的那家医院。」,天空,日常（侦探）,false,"setboolflag(photo_collected_photo_01,false)&setboolflag(photo_collected_photo_02,false)&setboolflag(photo_collected_photo_03,false)&setboolflag(photo_collected_photo_04,false)&setboolflag(photo_collected_photo_05,false)&setboolflag(photo_collected_photo_06,false)&setboolflag(puzzle_unlocked,false)&setboolflag(photo_session_started,false)&setboolflag(tutorial_shown,false)&setboolflag(read_doll,false)",
1001,？？？,hide,hide,hide,hide,「对，在十二楼的1202病房……」,天空,日常（侦探）,,,
1002,？？？,hide,hide,hide,hide,「她情绪可能不稳定……你记得稍微温柔一点」,天空,日常（侦探）,,,
1003,？？？,hide,hide,hide,hide,「这次的情况是有点棘手，但组织上相信你的能力，就当是帮老朋友一个忙……」,天空,日常（侦探）,,,
1004,？？？,hide,hide,hide,hide,「黎，这次就拜托你了。」,天空,日常（侦探）,,,
1005,,hide,hide,hide,hide,………………,天空,日常（侦探）,,,
1006,,hide,hide,hide,hide,…………,天空,日常（侦探）,,,
1007,,hide,hide,hide,hide,我推开了病房的门。,病房,日常（侦探）,,,
1008,,hide,hide,hide,zero_default,病床上的少女看到我，坐起了身。,病房,日常（侦探）,,,
1009,,hide,hide,hide,zero_default,她已经换好了制服，那样子与其说是病患，倒不如说像一位来探望病人的少女。,病房,日常（侦探）,,,
1010,黎,hide,hide,hide,zero_default,「打扰了。」,病房,日常（侦探）,,,
1011,少女,hide,hide,zero_default,hide,「你好……」,病房,零のテーマ,,,
1012,黎,hide,hide,zero_default,hide,「你是叫零，是吧。」,病房,零のテーマ,,,
1013,黎,hide,hide,zero_default,hide,「很高兴见到你。」,病房,零のテーマ,,,
1014,零,hide,hide,zero_happy,hide,「幸会，黎先生。」,病房,零のテーマ,,,
1015,,hide,hide,zero_happy,hide,面前的是一位眼神清澈的少女，看起来十分乖巧。,病房,零のテーマ,,,
1016,,hide,hide,zero_happy,hide,——很难想象，这位少女两个月前刚刚从学校天台跳下，到现在还没恢复。,病房,零のテーマ,,,
1017,,hide,hide,zero_happy,hide,据说那天是雨后，少女刚好跳到了花坛里，所以受伤并不严重。但是少女却失去了关于这件事的记忆，让整个案情变得扑朔迷离。,病房,零のテーマ,,,
1018,零,hide,hide,zero_sad,hide,「很抱歉麻烦您，明明您应该也挺忙的……」,病房,零のテーマ,,,
1019,黎,hide,hide,zero_sad,hide,「没事，毕竟是老朋友的委托——」,病房,零のテーマ,,,
1020,黎,hide,hide,zero_sad,hide,「我来自我介绍一下吧。我叫黎，是一名通灵摄影师，我的工作是拍摄相片，并通过照片看到物品所承载的碎片化的思念。」,病房,零のテーマ,,,
1021,黎,hide,hide,zero_sad,hide,「一件物品通常会承载着一些回忆，对于那些意义重大的物品，则会承载着某段特定的回忆」,病房,零のテーマ,,,
1022,黎,hide,hide,zero_sad,hide,「一般来说，我会将这些回忆其拼组成完整的故事，从而帮助警察找到案件的真相。」,病房,零のテーマ,,,
1023,零,hide,hide,zero_surprise,hide,「和我听说的一样，黎先生……不过还是感觉有点不可思议。」,病房,零のテーマ,,,
1024,,hide,hide,zero_surprise,hide,少女的话语让我感到莫名地熟悉。,病房,零のテーマ,,,
1025,,hide,hide,zero_surprise,hide,似乎所有人都会对我的这门技术感到诧异——也罢，这听起来确实有点奇幻了。,病房,零のテーマ,,,
1026,黎,hide,hide,zero_surprise,hide,「觉得不可思议也很正常。这样，我来给你做个示范就好了——」,病房,零のテーマ,,,
,,hide,hide,zero_surprise,hide,我将相机对准了零的病床，按下了快门。,病房,零のテーマ,,,
,,hide,hide,zero_surprise,hide,不一会儿，一段回忆就透过相机直接铺开在了我的眼前,病房,零のテーマ,,,
1027,零,hide,hide,zero_sad,hide,「医生，我换上制服真的可以吗……」,病房,零のテーマ,,,
1028,医生,hide,hide,zero_sad,hide,「你外伤已经好得差不多了——真亏你从那么高的地方跳下来还能恢复得这么快。」,病房,零のテーマ,,,
1029,医生,hide,hide,zero_sad,hide,「而且你已经失忆了，我们得想办法让你恢复记忆。,病房,零のテーマ,,,
1030,医生,hide,hide,zero_happy,hide,「我们想着那就穿平日里穿的衣服试试看，看看能不能想起些什么——」,病房,零のテーマ,,,
1031,零,hide,hide,zero_happy,hide,「好的……谢谢医生。」,病房,零のテーマ,,,
1032,医生,hide,hide,zero_happy,hide,「没事，既然到十二楼的休养区了，你就好好休息。」,病房,零のテーマ,,,
1033,医生,hide,hide,zero_happy,hide,「有什么不适，都可以按这个铃来叫护士……」,病房,零のテーマ,,,
1034,黎,hide,hide,zero_happy,hide,「看，我现在就获得了关于这个病床的回忆——」,病房,零のテーマ,,,
1035,零,hide,hide,zero_suprise,hide,「诶？黎先生，你不要骗我。」,病房,零のテーマ,,,
1036,黎,hide,hide,zero_suprise,hide,「前段时间——具体是多久前我不太清楚。医生是不是为了帮你找回记忆，特地让你换上制服，搬到了十二楼的休养区——」,病房,零のテーマ,,,
1037,零,hide,hide,zero_suprise,hide,「诶——」,病房,零のテーマ,,,
1038,,hide,hide,zero_suprise,hide,少女露出了惊讶的表情，但很快恢复了平静。,病房,零のテーマ,,,
1039,零,hide,hide,zero_default,hide,「是有这么回事……」,病房,零のテーマ,,,
1040,,hide,hide,zero_happy,hide,少女像想起来什么似的，突然笑了，嘴角牵起一抹苦涩的弧度,病房,零のテーマ,,,
1041,零,hide,hide,zero_sad,hide,「不过黎先生，有一点你搞错了——就是我穿的衣服并不是事发当天的。这是另一套制服。原来的那套洗了，放在家里。」,病房,零のテーマ,,,
1042,黎,hide,hide,zero_sad,hide,「我怎么可能连这都知道得这么清楚啊……」,病房,零のテーマ,,,
1043,零,hide,hide,zero_sad,hide,「那我就暂时相信黎先生了——毕竟现在的我，也没有其他办法了……」,病房,零のテーマ,,,
1044,黎,hide,hide,zero_sad,hide,（如果不相信我最开始就不要下这个委托啊！）,病房,零のテーマ,,,
