ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1000,,hide,zero-hurt,hide,hide,那阵疯狂仿佛只是某种机缘巧合下的暂时性产物。,教室傍晚,日常平淡,False,,
1001,,hide,zero-hurt,hide,hide,我感受到一阵眩晕，胃里翻江倒海，像是催促着我要把这一切不洁之物吐出去一样。,教室傍晚,日常平淡,,,
1002,零,hide,zero-sad,hide,hide,「明明没有吃什么奇怪的东西啊……总不能是药吧。」,教室傍晚,日常平淡,,,
1003,,hide,zero-sad,hide,hide,眼角感觉湿湿的，似乎是我在不知不觉间，落泪了。,教室傍晚,日常平淡,,,
1004,,hide,zero-sad,hide,hide,我现在来到的是碧的教室。,教室傍晚,日常平淡,,,
1005,,hide,zero-sad,hide,hide,即使这里和我们教室几乎长得一样，在别人领域的这种异样感还是会让我感到不适。,教室傍晚,日常平淡,,,
1006,,hide,zero-sad,hide,hide,我将手提包用力掷在课桌上。,教室傍晚,日常平淡,,,
1007,,hide,zero-sad,hide,aoi-default,坐着的少女没有理会被重重摔到自己桌子上的包，只是抬起头来看着我。,教室傍晚,日常平淡,,,
1008,碧,hide,zero-default,hide,aoi-default,「来了吗，零——」,教室傍晚,日常平淡,,,
1009,,hide,zero-default,hide,aoi-default,碧的声音格外冷静，似乎准备说什么大事一样。,教室傍晚,日常平淡,,,
1010,零,hide,zero-angry,hide,aoi-default,「怎么突然这个时候把我叫来？正好，我也有事情想问你。」,教室傍晚,日常平淡,,,
1011,碧,hide,zero-angry,hide,aoi-default,「那些都不重要，零。重要的是，有些话 I 今天非说不可。」,教室傍晚,日常平淡,,,
1012,零,hide,zero-angry,hide,aoi-default,「为什么是今天？」,教室傍晚,日常平淡,,,
1013,碧,hide,zero-angry,hide,aoi-happy,「哼哼」,教室傍晚,日常平淡,,,
1014,,hide,zero-angry,hide,aoi-happy,碧笑了起来，仿佛在嘲弄我似的。,教室傍晚,日常平淡,,,
1015,碧,hide,zero-serious,hide,aoi-happy,「怎么，青梅竹马的姐姐想见你，你就这么不乐意啊。」,教室傍晚,日常平淡,,,
1016,零,hide,zero-serious,hide,aoi-happy,「不能算不乐意吧……只是身体有些不适，心情也跟着变差了……不必在意。」,教室傍晚,日常平淡,,,
1017,零,hide,zero-serious,hide,aoi-happy,（她最好能主动承认错误……）,教室傍晚,日常平淡,,,
1018,碧,hide,zero-serious,hide,aoi-spoil,「哦？身体怎么了，要不要让我来——」,教室傍晚,日常平淡,,,
1019,零,hide,zero-serious,hide,aoi-spoil,「不用了，也没什么大事。可能是刚开始吃药，不太适应吧。」,教室傍晚,日常平淡,,,
1020,碧,hide,zero-serious,hide,aoi-spoil,「药是一直以来那个？之前没怎么，怎么现在却——」,教室傍晚,日常平淡,,,
1021,零,hide,zero-serious,hide,aoi-spoil,「只是换品种了而已。这次的可以吃很久，能少跑几次医院。」,教室傍晚,日常平淡,,,
1022,零,hide,zero-angry,hide,aoi-spoil,「倒不如说这些事情都无所谓吧。说吧，今天找我是为了什么？」,教室傍晚,日常平淡,,,
1023,,hide,zero-angry,hide,aoi-spoil,我没好气地跟她说到。,教室傍晚,日常平淡,,,
1024,零,hide,zero-angry,hide,aoi-spoil,「我现在有点不想跟你说话——」,教室傍晚,日常平淡,,,
