ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
3001,,hide,hide,hide,hide,头疼的时候，我会吃点药，来减缓那种刺骨的疼痛。,天空,,FALSE,,
3002,,hide,hide,hide,hide,从和空搭上话那天开始已经过去多久了呢？我有些分不太清了。,天空,,,,
3003,,hide,hide,hide,hide,她不知道什么时候从哪里找到了我的联系方式——,天空,,,,
3004,空,sora-playful,hide,hide,hide,【是零吗？我是空，你还记得我吗】,天空,,,,
3005,零,zero-suprise,hide,hide,hide,【是我……你是怎么知道我的号码的＞﹏＜】,天空,,,,
3006,,hide,hide,hide,hide,某个晚上，我收到了预料之外的讯息。,天空,,,,
3007,,hide,hide,hide,hide,比起高兴，我更加惊讶空居然能找到我的联系方式,天空,,,,
3008,,hide,hide,hide,hide,空仅仅是搪塞过去，并没有过多解释我的联系方式的来历。,天空,,,,
3009,,hide,hide,hide,hide,——当然，现在的我在意的也不是这个。,天空,,,,
3010,零,zero-happy,hide,hide,hide,【之前那次真的是特别感谢！φ(゜▽゜*)♪】,天空,,,,
3011,零,zero-happy,hide,hide,hide,【想找个机会，请学姐喝杯咖啡什么的。当面感谢一下空学姐！】,天空,,,,
3012,空,sora-playful,hide,hide,hide,【哦？如果我说没空呢？】,天空,,,,
3013,零,zero-sad,hide,hide,hide,【/(ㄒoㄒ)/~~】,天空,,,,
3014,零,zero-sad,hide,hide,hide,【如果学姐没空的话，那就下次……】,天空,,,,
3015,空,sora-spoil,hide,hide,hide,【好了，不逗你玩了】,天空,,,,
3016,空,sora-spoil,hide,hide,hide,【你这周末有时间吗？我知道一家咖啡馆，如果方便的话……】,天空,,,,
3017,空,hide,zero-hurt,hide,sora-default,「……零」,天空,,,,
3018,空,hide,zero-hurt,hide,sora-default,「零？」,街道,日常欢快,,,
3019,,hide,zero-default,hide,sora-default,混合柑橘味的叫声将我拉回现实。,街道,日常欢快,,,
3020,零,hide,zero-default,hide,sora-default,「啊！怎么了，什么事？」,街道,日常欢快,,,
3021,空,hide,zero-default,hide,sora-spoil,「我看你好像在想什么事，怎么了吗？」,街道,日常欢快,,,
3022,零,hide,zero-doki,hide,sora-spoil,「没，没怎么啊……」,街道,日常欢快,,,
3023,,hide,zero-doki,hide,sora-spoil,我不自觉加快了脚步。,街道,日常欢快,,,
3024,,hide,zero-doki,hide,sora-spoil,感觉自己脸有点红了。,街道,日常欢快,,,
3025,,hide,zero-doki,hide,sora-spoil,初夏的太阳闪着金黄的色彩，照亮了这条不知走了多少次的人行横道。,街道,日常欢快,,,
3026,空,hide,zero-doki,hide,sora-wry,「别走那么快啊，零」,街道,日常欢快,,,
3027,,hide,zero-doki,hide,sora-wry,身后的少女朝我抱怨着。,街道,日常欢快,,,
3028,,hide,zero-happy,hide,sora-wry,我回头过去，朝她用力绽放了一个笑容——,街道,日常欢快,,,
3029,零,hide,zero-happy,hide,sora-wry,「好啦，别抱怨了，空。我们马上就要到啦！」,街道,日常欢快,,,
3030,空,hide,zero-happy,hide,sora-wry,「都说了走慢点……哎，哪来的这么足的精气神啊。」,街道,日常欢快,,,
3031,空,hide,zero-happy,hide,sora-wry,「真的跟她一模一样呢……」,街道,日常欢快,,,
3032,零,hide,zero-suprise,hide,sora-wry,「嗯？你刚才有说什么吗？」,街道,日常欢快,,,
3033,空,hide,zero-suprise,hide,sora-spoil,「应该是你的错觉吧。没什么，不必在意。」,街道,日常欢快,,,
3034,空,hide,zero-suprise,hide,sora-spoil,「好了好了，我们要到了，别管这么多了。」,街道,日常欢快,,,
3035,零,hide,zero-suprise,hide,sora-spoil,「？」,街道,日常欢快,,,
3036,,hide,zero-suprise,hide,sora-spoil,空没有理会我的疑惑，反而又追上了脚步慢下来的我。,街道,日常欢快,,,
3037,,hide,zero-suprise,hide,sora-spoil,疑云重重。,街道,日常欢快,,,
3038,,hide,hide,hide,hide,…………,天空,,,,
3039,,hide,hide,hide,hide,……,天空,,,,
3040,,hide,zero-default,hide,sora-spoil,我们没有再过多对话，不知疑不觉间，就来到了她说的那家咖啡店。,咖啡店,进店音效,,,
3041,,hide,zero-default,hide,sora-spoil,在角落坐了下来后，我们点了份简单的套餐。,咖啡店,日常融洽,,,
3042,空,hide,zero-default,hide,sora-smile,「哦？你居然会喝美式，看不出来啊……」,咖啡店,日常融洽,,,
3043,,hide,zero-default,hide,sora-smile,空搅动着她的拿铁，打量着我。,咖啡店,日常融洽,,,
3044,,hide,zero-serious,hide,sora-smile,漂亮的拉花被她随意地搅动破坏，白色和棕色搅和在一起，渐渐融为一体。,咖啡店,日常融洽,,,
3045,,hide,zero-serious,hide,sora-smile,稍微有点不适感，仿佛一朵漂亮的玫瑰被一片片扯下了花瓣。,咖啡店,日常融洽,,,
3046,,hide,zero-serious,hide,sora-smile,空注意到了我正盯着她的杯子，微微一笑。,咖啡店,日常融洽,,,
3047,空,hide,zero-serious,hide,sora-smile,「很在意吗？其实我之前也尝过美式，但是太苦了，受不了。」,咖啡店,日常融洽,,,
3048,空,hide,zero-serious,hide,sora-smile,「我啊，还是喝拿铁习惯了……恰到好处的平衡感。」,咖啡店,日常融洽,,,
3049,零,hide,zero-default,hide,sora-smile,「其实我之前完全不喝咖啡。」,咖啡店,日常融洽,,,
3050,零,hide,zero-default,hide,sora-spoil,「是我的青梅竹马，她很喜欢咖啡，尤其是美式。」,咖啡店,日常融洽,,,
3051,零,hide,zero-happy,hide,sora-spoil,「在她的强烈推荐下，我也开始喝咖啡了。」,咖啡店,日常融洽,,,
3052,零,hide,zero-happy,hide,sora-spoil,「最后变得跟她一样，喜欢喝美式了……」,咖啡店,日常融洽,,,
3053,空,hide,zero-happy,hide,sora-default,「是吗……」,咖啡店,日常融洽,,,
3054,,hide,zero-happy,hide,sora-default,空下意识地把身子往后靠了靠，眼神有些闪躲。,咖啡店,日常融洽,,,
3055,,hide,zero-happy,hide,sora-default,我抿了一口温热的咖啡，苦苦的。,咖啡店,日常融洽,,,
3056,空,hide,zero-happy,hide,sora-spoil,「你的那位青梅竹马……是什么样的人呢？」,咖啡店,日常融洽,,,
3057,零,hide,zero-suprise,hide,sora-spoil,「诶？」,咖啡店,日常融洽,,,
3058,零,hide,zero-default,hide,sora-spoil,「嗯……」,咖啡店,日常融洽,,,
3059,,hide,zero-default,hide,sora-spoil,空装作不在意地抿了一口咖啡。,咖啡店,日常融洽,,,
3060,零,hide,zero-happy,hide,sora-spoil,「硬要说的话，是一位有些强硬的人吧……」,咖啡店,日常融洽,,,
