ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
4001,,hide,hide,hide,hide,空，空的妹妹，死亡，我和她妹妹很像……,街道,,FALSE,,
4002,,hide,hide,hide,hide,和空喝完咖啡，回家的路上，我一直在反复想着刚才的那些事。,街道,,,,
4003,,hide,hide,hide,hide,赤色的街道，赤色的世界，赤色的悸动，赤色的心情。,街道,,,,
4004,,hide,hide,hide,hide,和打车回家的空不同，手头拮据的我只能走着回家——,街道,,,,
4005,零,zero-happy,hide,hide,hide,【今天真的很开心，下次请一定要让我请客！】,街道,,,,
4006,零,zero-happy,hide,hide,hide,【如果可以的话，下次可以多给我讲讲你妹妹的事！】,街道,,,,
4007,空,sora-spoil,hide,hide,hide,【好】,街道,,,,
4008,,hide,hide,hide,hide,简单的单字回复。,街道,,,,
4009,空,sora-spoil,hide,hide,hide,【我没有对别人说过这些事，如果你愿意听的话，我也可以讲给你——】,街道,,,,
4010,,hide,zero-hurt,hide,hide,空，空的妹妹，死亡……,街道,,,,
4011,,hide,zero-hurt,hide,hide,……明明是没见过的人，为什么我会感觉到悲伤呢？,街道,,,,
4012,,hide,zero-hurt,hide,hide,家门越来越靠近我了。,街道,,,,
4013,,hide,zero-hurt,hide,hide,门口站了个意料之外的身影。,门口,日常平淡,,,
4014,,hide,zero-hurt,hide,hide,——不，既然是她的话，站在我门口也没什么好稀奇的。,门口,日常平淡,,,
4015,碧,hide,zero-hurt,hide,aoi-spoil,「好久不见，零。欢迎回家。」,门口,日常平淡,,,
4016,,hide,zero-default,hide,aoi-spoil,碧手里拿着手机，好像刚和谁打完电话。,门口,日常平淡,,,
4017,,hide,zero-default,hide,aoi-spoil,温柔的话语混杂着柠檬的香气。,门口,日常平淡,,,
4018,,hide,zero-happy,hide,aoi-spoil,是碧，我的青梅竹马，此时此刻就站在我的面前。,门口,日常平淡,,,
4019,零,hide,zero-happy,hide,aoi-spoil,「碧？你在我家门口等我啊。」,门口,日常平淡,,,
4020,碧,hide,zero-happy,hide,aoi-happy,「哼哼。」,门口,日常平淡,,,
4021,碧,hide,zero-happy,hide,aoi-happy,「看某个人今天放学后没有直接回家，有点担心呢……」,门口,日常平淡,,,
4022,碧,hide,zero-happy,hide,aoi-happy,「怎么？去哪里玩了呢？」,门口,日常平淡,,,
4023,零,hide,zero-happy,hide,aoi-happy,「啊，我跟朋友去喝咖啡了。」,门口,日常平淡,,,
4024,零,hide,zero-angry,hide,aoi-default,「真是的，不要像我妈一样问东问西的啦！」,门口,日常平淡,,,
4025,零,hide,zero-angry,hide,aoi-default,「我好歹也这个岁数了，和朋友出去玩之类的不是很正常吗？」,门口,日常平淡,,,
4026,碧,hide,zero-angry,hide,aoi-spoil,「好啦好啦，我只是问问。」,门口,日常平淡,,,
4027,碧,hide,zero-angry,hide,aoi-spoil,「倒不如说——你这么激动的否认是为了什么？」,门口,日常平淡,,,
4028,零,hide,zero-angry,hide,aoi-spoil,「还不是碧太多管闲事！真是的，好歹信任我一点呢。」,门口,日常平淡,,,
4029,碧,hide,zero-angry,hide,aoi-panic,「那么，你是和哪位朋友出去玩了呢？小学玩得好的那位闪，初中认识的创，还是你们班上的那位界同学？」,门口,日常平淡,,,
4030,零,hide,zero-hurt,hide,aoi-spoil,「唔……」,门口,日常平淡,,,
4031,,hide,zero-hurt,hide,aoi-spoil,碧的眼神锐利了起来。,门口,日常平淡,,,
4032,,hide,zero-hurt,hide,aoi-spoil,酸柠檬的味道开始腐蚀我的理智。,门口,日常平淡,,,
4033,碧,hide,zero-hurt,hide,aoi-panic,「还是说……」,门口,日常平淡,,,
4034,碧,hide,zero-hurt,hide,aoi-panic,「是你前几日提到的，那位忘不掉的……神秘女子？」,门口,日常平淡,,,
4035,零,hide,zero-sad,hide,aoi-panic,「无可奉告……」,门口,日常平淡,,,
4036,碧,hide,zero-sad,hide,aoi-sad,「果然，零长大了啊。」,门口,日常平淡,,,
4037,碧,hide,zero-sad,hide,aoi-sad,「怎么这次不把你的新朋友介绍给我认识了呢……」,门口,日常平淡,,,
4038,,hide,zero-sad,hide,aoi-sad,一股无名的压迫感。,门口,日常平淡,,,
4039,,hide,zero-sad,hide,aoi-sad,仿佛一张无形的大网展开，框住了我的生活。,门口,日常平淡,,,
4040,零,hide,zero-angry,hide,aoi-sad,「你还好意思问这个！事到如今了，怎么还要装无辜！」,门口,日常平淡,,,
4041,,hide,zero-angry,hide,aoi-sad,我有些来气了，很有些来气了。,门口,日常平淡,,,
4042,碧,hide,zero-angry,hide,aoi-default,「这么说……你承认了？」,门口,日常平淡,,,
4043,零,hide,zero-angry,hide,aoi-default,「……」,门口,日常平淡,,,
4044,碧,hide,zero-angry,hide,aoi-panic,「你说啊，你刚才到底去干什么了，是不是去跟她鬼混了！」,门口,日常平淡,,,
4045,,hide,zero-angry,hide,aoi-panic,碧的语气变得急躁。一支箭矢射在了我的心脏，这是她第一次用这种语气跟我说话。,门口,日常平淡,,,
4046,零,hide,zero-angry,hide,aoi-default,「是啊，那又怎么了？」,门口,日常平淡,,,
4047,零,hide,zero-angry,hide,aoi-default,「我为什么这样做你不是心知肚明吗？怎么好意思来问我！」,门口,日常平淡,,,
4048,,hide,zero-angry,hide,aoi-default,老虎会用吼叫声吓跑猎物，让它不要再靠近自己的领地。,门口,日常平淡,,,
4049,零,hide,zero-angry,hide,aoi-default,「说到底，我去见谁跟你有什么关系呢，碧。」,门口,日常平淡,,,
4050,碧,hide,zero-angry,hide,aoi-sad,「那是因为我担心你——」,门口,日常平淡,,,
4051,零,hide,zero-angry,hide,aoi-sad,「根本不是因为那些理由吧，碧。你什么都清楚的，就跟我一样。」,门口,日常平淡,,,
4052,,hide,zero-angry,hide,aoi-sad,面具和皮肤被缝在一起的小丑正在台上演出。,门口,日常平淡,,,
4053,碧,hide,zero-angry,hide,aoi-spoil,「她对你的情感根本就不是真实的，零！你什么都不懂，只有我——」,门口,日常平淡,,,
4054,,hide,zero-angry,hide,aoi-spoil,当他想谢幕时，却发现根本摆脱不了这个身份了……,门口,日常平淡,,,
4055,零,hide,zero-angry,hide,aoi-spoil,「不你不懂，你根本不知道她对我有多好——」,门口,日常平淡,,,
4056,碧,hide,zero-angry,hide,aoi-panic,「你们才认识多久，能有什么感情基础？」,门口,日常平淡,,,
4057,碧,hide,zero-angry,hide,aoi-panic,「她对你好，只是因为她有个——」,门口,日常平淡,,,
4058,,hide,zero-suprise,hide,aoi-spoil,碧突然停顿，明显慌张了起来，种种举动像是在掩盖什么。,门口,日常平淡,,,
4059,零,hide,zero-suprise,hide,aoi-spoil,「……妹妹？」,门口,日常平淡,,,
4060,碧,hide,zero-suprise,hide,aoi-spoil,「呃——」,门口,日常平淡,,,
4061,零,hide,zero-suprise,hide,aoi-spoil,「你认识空吗？」,门口,日常平淡,,,
4062,碧,hide,zero-suprise,hide,aoi-happy,「原来她叫空吗，明白了……」,门口,日常平淡,,,
4063,,hide,zero-suprise,hide,aoi-happy,碧的双眼睁大，表情从慌张变成了恍然大悟。,门口,日常平淡,,,
4064,,hide,zero-suprise,hide,aoi-happy,但这只会让我更加恼火——,门口,日常平淡,,,
4065,零,hide,zero-angry,hide,aoi-happy,「你是怎么知道这件事的！」,门口,日常平淡,,,
4066,碧,hide,zero-angry,hide,aoi-wild,「我怎么知道的和你没关系吧！一个人的身世而已，又不是什么秘密！」,门口,日常平淡,,,
4067,零,hide,zero-angry,hide,aoi-wild,「你去偷偷调查人家了？」,门口,日常平淡,,,
4068,碧,hide,zero-angry,hide,aoi-sad,「我还不至于做到那种地步——」,门口,日常平淡,,,
4069,,hide,zero-angry,hide,aoi-sad,头又开始疼起来了。,门口,日常平淡,,,
4070,,hide,zero-angry,hide,aoi-sad,有违和感，有矛盾点。,门口,日常平淡,,,
4071,,hide,zero-angry,hide,aoi-sad,但是自己的大脑已经被酸柠檬完全侵蚀，似乎没有精力再想别的——,门口,日常平淡,,,
4072,零,hide,zero-angry,hide,aoi-sad,「你到底做了些什么？——不，或者说你到底想做些什么」,门口,日常平淡,,,
4073,碧,hide,zero-angry,hide,aoi-sad,「你真的对她有那方面的好感吗？」,门口,日常平淡,,,
4074,,hide,zero-sad,hide,aoi-sad,糅合在一起的神情，喜悦，悲伤，揉在了一起，苦涩。,门口,日常平淡,,,
4075,零,hide,zero-sad,hide,aoi-sad,「……」,门口,日常平淡,,,
4076,零,hide,zero-sad,hide,aoi-sad,「我不想再听你的胡言语了。」,门口,日常平淡,,,
4077,零,hide,zero-sad,hide,aoi-sad,「说真的，今天能看到你在门口接我，我很高兴，真的。」,门口,日常平淡,,,
4078,零,hide,zero-sad,hide,aoi-sad,「但是你却，你却，这样对我……」,门口,日常平淡,,,
4079,零,hide,zero-sad,hide,aoi-sad,「不是说过了不要再这样吗！」,门口,日常平淡,,,
4080,零,hide,zero-sad,hide,aoi-default,「你这样只会把我逼疯的，只会把我逼疯的……」,门口,日常平淡,,,
4081,,hide,zero-hurt,hide,aoi-default,碧明显愣住了，似乎被我的气势给吓到了。,门口,,,,
4082,,hide,zero-hurt,hide,aoi-default,电钻在钻我的大脑，眼前仿佛出现了一团浓雾。,门口,,,,
4083,,hide,zero-hurt,hide,aoi-default,漂泊着的大海，谎言组成的世界——,门口,,,,
4084,,hide,zero-hurt,hide,aoi-default,柠檬的香味，柑橘的香味，虚无缥缈的世界，一辆横冲直撞的地铁。,门口,,,,
4085,,hide,zero-scare,hide,aoi-default,大脑里有一个金属摇滚乐队！,门口,,,,
4086,,hide,zero-scare,hide,aoi-default,嘈杂地刺痛着我的大脑！,门口,,,,
4087,,hide,zero-scare,hide,aoi-default,好疼好疼好疼好疼！,门口,,,,
4088,,hide,zero-bad,hide,aoi-sad,我从包里掏出那个药罐。,门口,,,,
4089,,hide,zero-bad,hide,aoi-sad,从里面抓了一把蓝色药片，猛然咽了下去。,门口,,,,
4090,碧,hide,zero-bad,hide,aoi-sad,「零!」,门口,,,,
4091,,hide,zero-bad,hide,aoi-sad,碧呐喊道。,门口,抒情,,,
4092,碧,hide,zero-bad,hide,aoi-sad,「不要一次吃这么多……」,门口,抒情,,,
4093,碧,hide,zero-bad,hide,aoi-sad,「水，要不要喝点水——啊，会不会吐出来更好……」,门口,抒情,,,
4094,,hide,zero-bad,hide,aoi-sad,我朝她摆了摆手，表示自己没事.,门口,抒情,,,
4095,碧,hide,zero-bad,hide,aoi-spoil,「你真的不要紧吗？」,门口,抒情,,,
4096,零,hide,zero-scare,hide,aoi-spoil,「你以为是拜谁所赐啊。」,门口,抒情,,,
4097,碧,hide,zero-scare,hide,aoi-spoil,「我只是，只是想……」,门口,抒情,,,
4098,,hide,zero-scare,hide,aoi-spoil,头疼稍微得到了缓解，我也些许冷静了下来。,门口,抒情,,,
4099,碧,hide,zero-scare,hide,aoi-sad,「对不起……」,门口,抒情,,,
4100,,hide,zero-scare,aoi-spoil,hide,她走了上来，抓住了我的肩膀。,门口,抒情,,,
4101,碧,hide,zero-scare,aoi-spoil,hide,「我可能有点……有点冲动吧」,门口,抒情,,,
4102,碧,hide,zero-scare,aoi-spoil,hide,「我本意不是这样的，我是真的怕你受到伤害——」,门口,抒情,,,
4103,零,hide,zero-default,aoi-spoil,hide,「碧……」,门口,抒情,,,
4104,零,hide,zero-sad,aoi-spoil,hide,「我知道……你都是为了我好。你打心底里是珍视我的，对吧。」,门口,抒情,,,
4105,零,hide,zero-sad,aoi-spoil,hide,「但是有些事……发生了就是发生了，无论用什么办法，也回不去了。」,门口,抒情,,,
4106,碧,hide,zero-sad,aoi-sad,hide,「我知道……对不起……」,门口,抒情,,,
4107,,hide,zero-sad,aoi-sad,hide,碧的声音越来越小，抓住我肩膀的手愈发用力。,门口,抒情,,,
4108,零,hide,zero-sad,aoi-sad,hide,「也算是认识这么久了，事到如今也不用我再多说什么了……」,门口,抒情,,,
4109,零,hide,zero-sad,aoi-sad,hide,「我们就像正常的朋友那样，好吗？」,门口,抒情,,,
4110,,hide,zero-sad,aoi-sad,hide,感觉自己被纳入了一片温暖中。,门口,抒情,,,
4111,,hide,zero-sad,aoi-spoil,hide,等到我意识到的时候，我已经被碧抱住了。,门口,抒情,,,
4112,,hide,zero-sad,aoi-spoil,hide,有柠檬的香味，很好闻。,门口,抒情,,,
4113,碧,hide,zero-default,aoi-spoil,hide,「好，我答应你……」,门口,抒情,,,
4114,,hide,zero-default,aoi-spoil,hide,碧的声音带上了些哭腔。,门口,抒情,,,
4115,,hide,zero-default,aoi-spoil,hide,她就这样抱着我，一直抱着我。,门口,抒情,,,
4116,碧,hide,zero-default,aoi-spoil,hide,「你也答应我，不要在一下子吃这么多药了，好吗……」,门口,抒情,,,
4117,零,hide,zero-default,aoi-spoil,hide,「嗯。」,门口,抒情,,,
4118,,hide,zero-default,aoi-spoil,hide,抱住我的双手又紧了几分.,门口,抒情,,,
4119,,hide,zero-default,aoi-spoil,hide,感受到了一丝不对劲，仿佛碧抱着的不是我，而是另一位名叫「零」的女孩儿。,门口,抒情,,,
4120,,hide,zero-default,aoi-spoil,hide,我这样想着，将自己托付在了柠檬的香味中。,门口,抒情,,loadscene(PhotoExploration),
