ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1000,,hide,hide,zero_hurt,hide,不行，我完全受不了这一切了——,教室1,零のテーマ,false,,
1001,,hide,hide,zero_hurt,hide,到底发生了什么？到底什么降临在了我的头上？,教室1,零のテーマ,,,
1002,,hide,hide,zero_hurt,hide,是什么导致的。,教室1,零のテーマ,,,
1003,,hide,hide,zero_hurt,hide,红红的，好像是这个世界，蓝蓝的，染成了紫色。,教室1,零のテーマ,,,
1004,,hide,hide,zero_hurt,hide,为什么为什么为什么为什么为什么为什么为什么——,教室1,零のテーマ,,,
1005,,hide,hide,zero_serious,hide,我呆呆地看着自己胸前的领带。,教室1,零のテーマ,,,
1006,空,hide,hide,zero_serious,hide,（果然，在学校见到你了。你是二年级生？）,教室1,零のテーマ,,,
1007,零,hide,hide,zero_serious,hide,（是……领带？）,教室1,零のテーマ,,,
1008,,hide,hide,zero_serious,hide,过往的回忆在我的大脑里交织，沉甸甸的，但整个人却飘飘然的。,教室1,零のテーマ,,,
1009,,hide,hide,zero_serious,hide,粉色的伞，散发着柑橘味的那把伞，躺在我的手提包内项。,教室1,零のテーマ,,,
1010,,hide,hide,zero_serious,hide,现在是放学后，教室里空无一人，只有我。,教室1,零のテーマ,,,
1011,,hide,hide,zero_bad,hide,空旷的教室，,教室1,零のテーマ,,,
1012,,hide,hide,zero_bad,hide,空白的氛围，,教室1,零のテーマ,,,
1013,,hide,hide,zero_bad,hide,空洞的思绪，,教室1,零のテーマ,,,
1014,,hide,hide,zero_bad,hide,空中飘散的柑橘气味。,教室1,零のテーマ,,,
1015,,hide,hide,zero_bad,hide,空虚的感情，,教室1,零のテーマ,,,
1016,,hide,hide,zero_bad,hide,空心的爱意，,教室1,零のテーマ,,,
1017,,hide,hide,zero_bad,hide,空泛的记忆，,教室1,零のテーマ,,,
1018,,hide,hide,zero_bad,hide,空中掠过的那场大雨。,教室1,零のテーマ,,,
1019,,hide,hide,zero_bad,hide,空，空，空。,教室1,零のテーマ,,,
1020,零,hide,hide,zero_serious,hide,我好像，有点不正常了……,教室1,零のテーマ,,,
1021,,hide,hide,zero_bad,hide,满脑子都是空。,教室1,零のテーマ,,,
1022,,hide,hide,zero_bad,hide,空的笑容、,教室1,零のテーマ,,,
1023,,hide,hide,zero_bad,hide,空的叹气、,教室1,零のテーマ,,,
