ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
P001,,hide,hide,hide,hide,「啊对的，就是上次你去过的那家医院。」,,,false,resetphotos,神秘委托
P002,,hide,hide,hide,hide,「对，在十二楼的1202病房……」,,,false,,
P003,,hide,hide,hide,hide,「她情绪可能不稳定……你记得稍微温柔一点」,,,false,,
P004,,hide,hide,hide,hide,「这次的情况是有点棘手，但组织上相信你的能力，就当是帮老朋友一个忙……」,,,false,,
P005,,hide,hide,hide,hide,「黎，这次就拜托你了。」,,,false,,
P006,,hide,hide,hide,hide,…………,,,false,,
P007,,hide,hide,hide,hide,我推开了病房的门。病床上的少女看到我，坐起了身。她已经换好了制服，全然没有病患该有的样子。,,,false,,
P008,黎,hide,hide,hide,hide,打扰了。,,,false,,
P009,少女,hide,hide,hide,hide,你好……,,,false,,
P010,黎,hide,hide,hide,hide,你是叫零，是吧。,,,false,,
P011,黎,hide,hide,hide,hide,很高兴见到你。,,,false,,
P012,零,hide,hide,hide,hide,幸会，黎先生。,,,false,,
P013,,hide,hide,hide,hide,面前的是一位眼神清澈的少女，看起来十分乖巧。,,,false,,
P014,,hide,hide,hide,hide,很难想象，这位少女两个月前刚刚从学校天台跳下，到现在还没恢复。据说那天是雨后，少女刚好跳到了花坛里，所以受伤并不严重。但是少女却失去了关于这件事的记忆，让整个案情变得扑朔迷离。,,,false,,
P015,零,hide,hide,hide,hide,很抱歉麻烦您，明明您应该也挺忙的……,,,false,,
P016,黎,hide,hide,hide,hide,没事，毕竟是老朋友的委托——,,,false,,
P017,黎,hide,hide,hide,hide,我来自我介绍一下吧。我叫黎，是一名通灵摄影师。我的工作是拍摄相片，并通过照片看到物品所承载的碎片化的思念。,,,false,,
P018,黎,hide,hide,hide,hide,一件物品通常会承载着一些回忆。对于那些意义重大的物品，则会承载着某段特定的回忆。,,,false,,
P019,黎,hide,hide,hide,hide,一般来说，我会将这些回忆拼组成完整的故事，从而帮助警察找到案件的真相。,,,false,,
P020,零,hide,hide,hide,hide,和我听说的一样，黎先生……不过还是感觉有点不可思议。,,,false,,
P021,,hide,hide,hide,hide,少女的话语让我感到莫名地熟悉。似乎所有人都会对我的这门技术感到诧异——也罢，这听起来确实有点奇幻了。,,,false,,
P022,黎,hide,hide,hide,hide,觉得不可思议也很正常。这样，我来给你做个示范就好了——,,,false,,
P023,,hide,hide,hide,hide,（回忆浮现）,,,false,,
P024,零,hide,hide,hide,hide,医生，我换上制服真的可以吗……,,,,false,,
P025,医生,hide,hide,hide,hide,你外伤已经好得差不多了——真亏你从那么高的地方跳下来还能恢复得这么快。,,,,false,,
P026,医生,hide,hide,hide,hide,而且你已经失忆了，我们得想办法让你恢复记忆。,,,,false,,
P027,医生,hide,hide,hide,hide,我们想着那就穿平日里穿的衣服试试看，看看能不能想起些什么——,,,,false,,
P028,零,hide,hide,hide,hide,好的……谢谢医生。,,,,false,,
P029,医生,hide,hide,hide,hide,没事，既然到十二楼的休养区了，你就好好休息。有什么不适，都可以按这个铃来叫护士……,,,,false,,
P030,,hide,hide,hide,hide,（回忆结束）,,,,false,,
P031,黎,hide,hide,hide,hide,看，我现在就获得了关于这个病床的回忆——,,,,false,,
P032,零,hide,hide,hide,hide,诶？黎先生，你不要骗我。,,,,false,,
P033,黎,hide,hide,hide,hide,前段时间——具体是多久前我不太清楚。医生是不是为了帮你找回记忆，特地让你换上制服，搬到了十二楼的休养区——,,,,false,,
P034,零,hide,hide,hide,hide,诶——,,,,false,,
P035,,hide,hide,hide,hide,少女露出了惊讶的表情，但很快恢复了平静。,,,,false,,
P036,零,hide,hide,hide,hide,是有这么回事……,,,,false,,
P037,,hide,hide,hide,hide,少女像想起来什么似的，突然笑了，嘴角牵起一抹苦涩的弧度。,,,,false,,
P038,零,hide,hide,hide,hide,不过黎先生，有一点你搞错了——就是我穿的衣服并不是事发当天的。这是另一套制服。原来的那套洗了，放在家里。,,,,false,,
P039,黎,hide,hide,hide,hide,我怎么可能连这都知道得这么清楚啊……,,,,false,,
P040,零,hide,hide,hide,hide,那我就暂时相信黎先生了——毕竟现在的我，也没有其他办法了……,,,,false,,
P041,,hide,hide,hide,hide,如果不相信我最开始就不要下这个委托啊！我在心里抱怨道，但看到少女开心的神情，我终究没有说出口。,,,,false,,
P042,黎,hide,hide,hide,hide,那么，可以再说一遍你的委托吗——虽然我已经听说了个大概。,,,,false,,
P043,零,hide,hide,hide,hide,好的。我的委托就是——帮我找回这件事有关的回忆。以及，"她"的下落……,,,,false,,
P044,,hide,hide,hide,hide,和她相遇本身，就能构成记忆的全部了。,,,,false,,
P045,,hide,hide,hide,hide,根据少女所说，她关于整个事件，只记得一些片段了——少女零在一个雨天的公交站台遇到了少女空。她被空忧郁的眼神所深深吸引，并想要知道关于空的一切。零将心意告知了青梅竹马的碧。想要得到碧支持的她，得到的回应却是一双有着复杂眼神的眸子。故事，开始了。,,,,false,,
P046,,hide,hide,hide,hide,一个月后，少女零跳楼的消息传遍了整个校园。三天后，她在医院苏醒，并且失去了关于事件的所有记忆。警方没有找到名为空的少女的下落。当警方询问碧相关事情的经过时，碧却对此闭口不谈。因为没有得到空家属的报案，加上零跳楼的行为确实是出于自身意志，因此警方并没有投入过多警力。但是，零没有放弃——,,,,false,,
P047,,hide,hide,hide,hide,又一个月后，身体已经基本恢复的少女零通过某种渠道找到了我，恳求我找回她的记忆，以及事情的全部真相——包括，空的下落。,,,,false,,
P048,零,hide,hide,hide,hide,我忘记了她的名字，也忘记了跟她相处的那些回忆。如果想找她的话，根本无从找起。我之前还想着可能跟她发过短信，但是手机也损坏了……,,,,false,,
P049,零,hide,hide,hide,hide,我只能来拜托你了，黎先生……,,,,false,,
P050,黎,hide,hide,hide,hide,所以，这就是你的委托？,,,,false,,
P051,零,hide,hide,hide,hide,是的，黎先生。这是我家的钥匙，按照约定，希望您可以去我家里寻找相关线索……,,,,false,,
P052,黎,hide,hide,hide,hide,那我就收下了——零家的地址事先已经有人告诉过我了，我今天就可以过去。,,,,false,,
P053,,hide,hide,hide,hide,我接过了钥匙，朝少女微微地笑了笑。,,,,false,,
P054,黎,hide,hide,hide,hide,如果发现什么我会通知你的——那么，我先走一步了。,,,,false,,
P055,,hide,hide,hide,hide,我朝病房门口走去。,,,,false,,
